PdmarticleID;Bezeichnung;"Externer Schlüssel";StateID;"Passende Ventile";"+ /";"Passende Antriebe";"Product family 2 from Actuator";Preisempfehlung;"Regeln für Ventil Dimsionierung";"Export Media manually changed";"Export Media";6986;6987;Typ;Produktfamilie;"Schliessdruck Δps";"Differenzdruck Δpmax Wert";"kv (Werkseinstellung)";Pfad;Versions-Nr
PdmarticleID;Label;ExternalKey;StateID;719;723;721;7244;2797;7679;7163;2778;6986;6987;13;891;18;28;6684;Path;VersionNr
100450;P6065W800E-MP;P6065W800E-MP;;;;;;;"Scenario 3";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;P6065W800E-MP;"Kommunikationsfähiger Regelkugelhahn mit sensorgeführter Durchflussregelung";690 kPa;340 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EPIV\stetig, MP\";465
100451;P6080W1100E-MP;P6080W1100E-MP;;;;;;;"Scenario 3";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;P6080W1100E-MP;"Kommunikationsfähiger Regelkugelhahn mit sensorgeführter Durchflussregelung";690 kPa;340 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EPIV\stetig, MP\";431
100452;P6100W2000E-MP;P6100W2000E-MP;;;;;;;"Scenario 3";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;P6100W2000E-MP;"Kommunikationsfähiger Regelkugelhahn mit sensorgeführter Durchflussregelung";690 kPa;340 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EPIV\stetig, MP\";424
100453;P6125W3100E-MP;P6125W3100E-MP;;;;;;;"Scenario 3";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;P6125W3100E-MP;"Kommunikationsfähiger Regelkugelhahn mit sensorgeführter Durchflussregelung";690 kPa;340 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EPIV\stetig, MP\";414
100454;P6150W4500E-MP;P6150W4500E-MP;;;;;;;"Scenario 3";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;P6150W4500E-MP;"Kommunikationsfähiger Regelkugelhahn mit sensorgeführter Durchflussregelung";690 kPa;340 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EPIV\stetig, MP\";421
100903;P6065W800EV-BAC;P6065W800EV-BAC;;;;;;;"Scenario 3";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;P6065W800EV-BAC;"Regelkugelhahn mit sensorgeführter Durchfluss- oder Leistungsregelung, Leistungs- und Energiemonitoringfunktion";690 kPa;340 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EV\stetig, BAC\";565
100904;P6080W1100EV-BAC;P6080W1100EV-BAC;;;;;;;"Scenario 3";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;P6080W1100EV-BAC;"Regelkugelhahn mit sensorgeführter Durchfluss- oder Leistungsregelung, Leistungs- und Energiemonitoringfunktion";690 kPa;340 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EV\stetig, BAC\";497
100905;P6100W2000EV-BAC;P6100W2000EV-BAC;;;;;;;"Scenario 3";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;P6100W2000EV-BAC;"Regelkugelhahn mit sensorgeführter Durchfluss- oder Leistungsregelung, Leistungs- und Energiemonitoringfunktion";690 kPa;340 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EV\stetig, BAC\";505
100906;P6125W3100EV-BAC;P6125W3100EV-BAC;;;;;;;"Scenario 3";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;P6125W3100EV-BAC;"Regelkugelhahn mit sensorgeführter Durchfluss- oder Leistungsregelung, Leistungs- und Energiemonitoringfunktion";690 kPa;340 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EV\stetig, BAC\";495
