PdmarticleID#PdmarticleID	Label#Label	External Key#ExternalKey	Nominal voltage#83	Power consumption in operation#67	Power consumption in rest position#68	Power consumption for wire sizing#69	Connection#6759	Nominal torque#260	Spring torque value#117	Actuating force#118	Emergency control function#890	Angle of rotation#473	Running time motor#230	Running time reference#3645	Running time emergency control position#3474	Sound power level motor#135	Control#281	Positioning signal Y#120	Control signal Y variable#5695	Operating range Y#121	Position feedback U#122	Connection supply / control#96	Degree of protection IEC/EN#144	Direction of motion motor#119	Auxiliary switch#112	Spindle driver#137	Ambient temperature#156	6287	Product picture 4c/bw#377	Data sheet name#406	Data sheet PDF#660	Company [Competitor]#7687	Serie Actuator [Competitor]#7606	Product type Actuator [Competitor]#7614	Voltage [Competitor]#7607	Sound power level [Competitor]#7608	Control type [Competitor]#7609	Running Time min [Competitor]#7610	Running Time max [Competitor]#7776	Torque [Competitor]#7611	Stroke [Competitor]#7612	Power consumption [Competitor]#7681	Connection [Competitor]#7682	Safety function [Competitor]#7683	Integrated switch [Competitor]#7684	Integrated potentiometer [Competitor]#7685	Degree of protection [Competitor]#7686	Angle of rotation [Competitor]#7771	Working range [Competitor]#7772	Positioning feedback [Competitor]#7773	Spindle driver [Competitor]#7774	Manual override [Competitor]#7775	Additional Specification [Competitor]#7613	Belimo Retrofit1 Antrieb#7597	Belimo Retrofit1 Accessory1#7604	Belimo Retrofit1 Accessory2#7777	Belimo Retrofit1 Actuator Note#7881	Belimo Retrofit2 Actuator#7680	Belimo Retrofit2 Accessory1#7697	Belimo Retrofit2 Accessory2#7778	Belimo Retrofit2 Actuator Note#7882	Belimo Retrofit3 Actuator#7688	Belimo Retrofit3 Accessory#7698	Belimo Retrofit3 Actuator Note#7883	Belimo Retrofit4 Actuator#7704	Belimo Retrofit4 Accessory#7705	Belimo Retrofit4 Actuator Note#7884	Version Number#VersionNr	Path#Path
PdmarticleID	Label	ExternalKey	83	67	68	69	6759	260	117	118	890	473	230	3645	3474	135	281	120	5695	121	122	96	144	119	112	137	156	6287	377	406	660	7687	7606	7614	7607	7608	7609	7610	7776	7611	7612	7681	7682	7683	7684	7685	7686	7771	7772	7773	7774	7775	7613	7597	7604	7777	7881	7680	7697	7778	7882	7688	7698	7883	7704	7705	7884	VersionNr	Path
301718	LM24/500																															Belimo			AC/DC 24 V	35 dB(A)	2- / 3-point	80 s	110 s	4 Nm		3 VA	5 m				IP54	95°			6...16 mm			LM24A			Connection: cable 1 m, PVC|											54	EU\Retrofit (Competitors)\Air solutions\Belimo\
301390	N20010-SER-SW2																															Honeywell			AC 24 V	40 dB(A)	modulating	95 s		20 Nm		6 VA	Terminal		2 x SPDT		IP54	95°	DC 0...30 V / 0...60 mA adjustable	DC 0...10 V	10...27 mm	gear disengagement		SM24A-MP-TP	S2A		Accessory S2A with 2 adjustable switching points.|											57	EU\Retrofit (Competitors)\Air solutions\Honeywell\
288488	GEB136.2E																															Siemens	GEB	linear actuator	AC 24 V		3-point	150 s			400 N	4 VA	0.9 m		2 x SPDT		IP40																					64	EU\Retrofit (Competitors)\Air solutions\Siemens\
301877	SM24																															Belimo			AC/DC 24 V	45 dB(A)	2- / 3-point	90 s	150 s	15 Nm		4 VA	0.9 m				IP54	95°			10...20 mm			SM24A	Z-SMA													53	EU\Retrofit (Competitors)\Air solutions\Belimo\
301555	SAL2.23S																															Joventa			AC 230 V	45 dB(A)	2- / 3-point	125 s		24 Nm		3.6 VA	Terminal		2 x SPDT		IP54	93°			10...20 mm	gear disengagement		GM230A-TP	S2A		"For 3-point control please get in touch with your local Belimo support.|
Accessory S2A with 2 adjustable switching points.|"											58	EU\Retrofit (Competitors)\Air solutions\Joventa\
301879	SM24 EK																															Belimo			AC/DC 24 V	45 dB(A)	2- / 3-point	90 s	150 s	15 Nm		4 VA	0.9 m				IP54	95°			10...20 mm			SM24A	Z-SMA													53	EU\Retrofit (Competitors)\Air solutions\Belimo\
301552	SAL1.23																															Joventa			AC/DC 24 V	45 dB(A)	2- / 3-point	125 s		24 Nm		5 VA	Terminal				IP54	93°			10...20 mm	gear disengagement		GM24A-TP				GM24A-MP-TP			For 3-point control, AC only.|							55	EU\Retrofit (Competitors)\Air solutions\Joventa\
301392	N20230-2POS																															Honeywell			AC 230 V	40 dB(A)	Open-close	110 s		20 Nm		8 VA	Terminal				IP54	95°			10...27 mm	gear disengagement		SM230A-TP														56	EU\Retrofit (Competitors)\Air solutions\Honeywell\
288492	GEB166.2E																															Siemens	GEB	linear actuator	AC 24 V		modulating	150 s			400 N	6 VA	0.9 m		2 x SPDT		IP40																					48	EU\Retrofit (Competitors)\Air solutions\Siemens\
