PdmarticleID;Label;"External Key";"Nominal voltage";"Power consumption in operation";"Power consumption in rest position";"Power consumption for wire sizing";Connection;"Nominal torque";"Spring torque value";"Actuating force";"Emergency control function";"Angle of rotation";"Running time motor";"Running time emergency control position";"Actuating time motor";"Actuating time emergency control function";"Running time reference";"Sound power level motor";Control;"Operating range Y";"Position feedback U";"Control signal Y variable";"Connection supply / control";"Degree of protection IEC/EN";"Ambient temperature";6287;"Product picture 4c/bw";"Data sheet name";"Data sheet PDF";"Company [Competitor]";"Serie Valve [Competitor]";"Serie Actuator [Competitor]";"Product type Actuator [Competitor]";"Product type valve [competitor]";DN;kvs;PN;Stroke;"Voltage [Competitor]";"Sound power level [Competitor]";"Control type [Competitor]";"Running Time min [Competitor]";"Running Time max [Competitor]";"Torque [Competitor]";"Stroke [Competitor]";"Power consumption [Competitor]";"Connection [Competitor]";"Safety function [Competitor]";"Integrated switch [Competitor]";"Integrated potentiometer [Competitor]";"Degree of protection [Competitor]";"Angle of rotation [Competitor]";"Working range [Competitor]";"Positioning feedback [Competitor]";"Spindle driver [Competitor]";"Manual override [Competitor]";"Additional Specification [Competitor]";"Belimo Retrofit1 Antrieb";"Belimo Retrofit1 Accessory1";"Belimo Retrofit1 Form fit adapter";"Belimo Retrofit1 Reducer";"Belimo Retrofit1 Insulation cover";"Belimo Retrofit2 Actuator";"Belimo Retrofit2 Accessory1";"Belimo Retrofit2 Form fit adapter";"Belimo Retrofit2 Reducer";"Belimo Retrofit3 Actuator";"Belimo Retrofit3 Accessory";"Belimo Retrofit3 Form fit adapter";"Belimo Retrofit4 Actuator";"Belimo Retrofit4 Accessory";"Belimo Retrofit4 Form fit adapter";"Belimo Retrofit Valve";"Belimo Retrofit VA-Unit";"Version Number";Path
PdmarticleID;Label;ExternalKey;83;67;68;69;6759;260;117;118;890;473;230;3474;6650;6651;3645;135;281;121;122;5695;96;144;156;6287;377;406;660;7687;7699;7606;7614;7700;15;14;528;16;7607;7608;7609;7610;7776;7611;7612;7681;7682;7683;7684;7685;7686;7771;7772;7773;7774;7775;7613;7597;7604;7706;7707;7708;7680;7697;7709;7710;7688;7698;7711;7704;7705;7712;7598;7603;VersionNr;Path
298401;065Z0152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Danfoss;"VRB 3";;;"Globe valve";15;1.0 m³/h;;10 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;18;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Danfoss\"
298396;065Z0137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Danfoss;"VRG 2";;;"Globe valve";25;10 m³/h;;10 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;17;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Danfoss\"
299763;"VUN 015 F300";;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sauter;VUN;;;"Globe valve";15;4.0 m³/h;;8 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;23;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Sauter\"
299305;MTR40-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Osby;MTR;;;"Globe valve";40;27 m³/h;;20 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;20;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Osby\"
298393;065Z0134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Danfoss;"VRG 2";;;"Globe valve";15;2.5 m³/h;;10 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;18;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Danfoss\"
300218;"Zesa_DN 350";;;;;;;;;;;;;;;;;;;;;;;;;;;;;ARI;"Zesa (Fig. 012)";;;"Rotary valve";350;10320 m³/h;;;;;;;;;;;;;;;;;;;;;;SY4-230-3-T|SY4-230-MP-T|SY4-230-SR-T|SY4-24-3-T|SY4-24-MP-T|SY4-24-SR-T;;;;;;;;;;;;;;;;;33;"EU\Retrofit (Competitors)\Water Solutions|\Retrofit rotary valve\ARI\"
300223;"Ziva G_DN 65";;;;;;;;;;;;;;;;;;;;;;;;;;;;;ARI;"Ziva G (Fig. 015)";;;"Rotary valve";65;190 m³/h;;;;;;;;;;;;;;;;;;;;;;SR24A-R|SR24A-MF-R|SR24A-MP-R|SR230A-R;;ZSF-11;;;SR24P-R|SR24P-SR-R|SR24P-MF-R|SR24P-MP-R|SR230P-R|SR230P-SR-R;;ZPF-11;;SRF230A-R|SRF230A-S2-R|SRF24A-R|SRF24A-S2-R|SRFA-R|SRFA-S2-R;;ZSFF-11;;;;;;38;"EU\Retrofit (Competitors)\Water Solutions|\Retrofit rotary valve\ARI\"
298854;"BM-221 2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Johnson Controls";"BM-2xx 2";;;"Globe valve";15;4.0 m³/h;;NA mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;20;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Johnson Controls\"
298852;"BR316RGA-0.75""-5-MS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hora;BR316RGA-MS;;;"Globe valve";20;5.0 m³/h;;14 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;21;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Hora\"
