PdmarticleID;Label;"External Key";StateID;"Suitable valves";"Installation options symbol";"Suitable actuators";"Product family 2 from Actuator";"Recommended price";"Rules for valve sizing";"Export Media manually changed";"Export Media";6986;6987;Type;"Product family";"Closing pressure Δps";"Differential pressure Δpmax value";"kv (factory setting)";Path;"Version Number"
PdmarticleID;Label;ExternalKey;StateID;719;723;721;7244;2797;7679;7163;2778;6986;6987;13;891;18;28;6684;Path;VersionNr
272362;EP015R+MP;EP015R+MP;;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP|VDI3805|Internet_EU;;;EP015R+MP;"Communicative characterised control valve with sensor-operated flow control";1400 kPa;350 kPa;;"EU\Products\Water solutions\VA Units\EPIV\modulating, MP\";312
272612;EP050R+MP;EP050R+MP;;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP|VDI3805|Internet_EU;;;EP050R+MP;"Communicative characterised control valve with sensor-operated flow control";1400 kPa;350 kPa;;"EU\Products\Water solutions\VA Units\EPIV\modulating, MP\";277
272610;EP032R+MP;EP032R+MP;;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP|VDI3805|Internet_EU;;;EP032R+MP;"Communicative characterised control valve with sensor-operated flow control";1400 kPa;350 kPa;;"EU\Products\Water solutions\VA Units\EPIV\modulating, MP\";287
272608;EP020R+MP;EP020R+MP;;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP|VDI3805|Internet_EU;;;EP020R+MP;"Communicative characterised control valve with sensor-operated flow control";1400 kPa;350 kPa;;"EU\Products\Water solutions\VA Units\EPIV\modulating, MP\";289
272611;EP040R+MP;EP040R+MP;;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP|VDI3805|Internet_EU;;;EP040R+MP;"Communicative characterised control valve with sensor-operated flow control";1400 kPa;350 kPa;;"EU\Products\Water solutions\VA Units\EPIV\modulating, MP\";280
272609;EP025R+MP;EP025R+MP;;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP|VDI3805|Internet_EU;;;EP025R+MP;"Communicative characterised control valve with sensor-operated flow control";1400 kPa;350 kPa;;"EU\Products\Water solutions\VA Units\EPIV\modulating, MP\";282
272617;EV015R+BAC;EV015R+BAC;;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP|VDI3805|Internet_EU;;;EV015R+BAC;"Characterised control valve with sensor-operated flow rate or power control, power and energy-monitoring function";1400 kPa;350 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EV\stetig, BAC\";275
272622;EV050R+BAC;EV050R+BAC;;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP|VDI3805|Internet_EU;;;EV050R+BAC;"Characterised control valve with sensor-operated flow rate or power control, power and energy-monitoring function";1400 kPa;350 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EV\stetig, BAC\";270
272618;EV020R+BAC;EV020R+BAC;;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP|VDI3805|Internet_EU;;;EV020R+BAC;"Characterised control valve with sensor-operated flow rate or power control, power and energy-monitoring function";1400 kPa;350 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EV\stetig, BAC\";267
