PdmarticleID;Label;"External Key";StateID;"Suitable valves";"Installation options symbol";"Suitable actuators";"Product family 2 from Actuator";"Recommended price";"Rules for valve sizing";"Export Media manually changed";"Export Media";6986;6987;Type;"Product family";"Closing pressure Δps";"Differential pressure Δpmax value";"kv (factory setting)";Path;"Version Number"
PdmarticleID;Label;ExternalKey;StateID;719;723;721;7244;2797;7679;7163;2778;6986;6987;13;891;18;28;6684;Path;VersionNr
100450;P6065W800E-MP;P6065W800E-MP;;;;;;;"Scenario 3";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;P6065W800E-MP;"Communicative characterised control valve with sensor-operated flow control";690 kPa;340 kPa;;"EU\Products\Water solutions\VA Units\EPIV\modulating, MP\";464
100451;P6080W1100E-MP;P6080W1100E-MP;;;;;;;"Scenario 3";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;P6080W1100E-MP;"Communicative characterised control valve with sensor-operated flow control";690 kPa;340 kPa;;"EU\Products\Water solutions\VA Units\EPIV\modulating, MP\";430
100452;P6100W2000E-MP;P6100W2000E-MP;;;;;;;"Scenario 3";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;P6100W2000E-MP;"Communicative characterised control valve with sensor-operated flow control";690 kPa;340 kPa;;"EU\Products\Water solutions\VA Units\EPIV\modulating, MP\";423
100453;P6125W3100E-MP;P6125W3100E-MP;;;;;;;"Scenario 3";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;P6125W3100E-MP;"Communicative characterised control valve with sensor-operated flow control";690 kPa;340 kPa;;"EU\Products\Water solutions\VA Units\EPIV\modulating, MP\";413
100454;P6150W4500E-MP;P6150W4500E-MP;;;;;;;"Scenario 3";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;P6150W4500E-MP;"Communicative characterised control valve with sensor-operated flow control";690 kPa;340 kPa;;"EU\Products\Water solutions\VA Units\EPIV\modulating, MP\";420
100903;P6065W800EV-BAC;P6065W800EV-BAC;;;;;;;"Scenario 3";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;P6065W800EV-BAC;"Characterised control valve with sensor-operated flow rate or power control, power and energy-monitoring function";690 kPa;340 kPa;;"EU\Products\Water solutions\VA Units\EV\modulating, BAC\";566
100904;P6080W1100EV-BAC;P6080W1100EV-BAC;;;;;;;"Scenario 3";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;P6080W1100EV-BAC;"Characterised control valve with sensor-operated flow rate or power control, power and energy-monitoring function";690 kPa;340 kPa;;"EU\Products\Water solutions\VA Units\EV\modulating, BAC\";498
100905;P6100W2000EV-BAC;P6100W2000EV-BAC;;;;;;;"Scenario 3";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;P6100W2000EV-BAC;"Characterised control valve with sensor-operated flow rate or power control, power and energy-monitoring function";690 kPa;340 kPa;;"EU\Products\Water solutions\VA Units\EV\modulating, BAC\";506
100906;P6125W3100EV-BAC;P6125W3100EV-BAC;;;;;;;"Scenario 3";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;P6125W3100EV-BAC;"Characterised control valve with sensor-operated flow rate or power control, power and energy-monitoring function";690 kPa;340 kPa;;"EU\Products\Water solutions\VA Units\EV\modulating, BAC\";496
100907;P6150W4500EV-BAC;P6150W4500EV-BAC;;;;;;;"Scenario 3";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;P6150W4500EV-BAC;"Characterised control valve with sensor-operated flow rate or power control, power and energy-monitoring function";690 kPa;340 kPa;;"EU\Products\Water solutions\VA Units\EV\modulating, BAC\";503
104476;D625N+SR230A-5;D625N+SR230A-5;;D625N;+;SR230A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D625N+SR230A-5;"Butterfly valve";1200 kPa;2.5 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";50
104477;D625N/SR230A-5;D625N/SR230A-5;;D625N;/;SR230A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D625N/SR230A-5;"Butterfly valve";1200 kPa;2.5 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";50
104478;D625N+SR24A-5;D625N+SR24A-5;;D625N;+;SR24A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D625N+SR24A-5;"Butterfly valve";1200 kPa;2.5 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";48
104479;D625N/SR24A-5;D625N/SR24A-5;;D625N;/;SR24A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D625N/SR24A-5;"Butterfly valve";1200 kPa;2.5 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";48
104482;D625N+SR24A-MP-5;D625N+SR24A-MP-5;;D625N;+;SR24A-MP-5;"Communicative actuator";0;"Scenario 1
Scenario 2";0;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D625N+SR24A-MP-5;"Butterfly valve";1200 kPa;2.5 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";46
104483;D625N/SR24A-MP-5;D625N/SR24A-MP-5;;D625N;/;SR24A-MP-5;"Communicative actuator";0;"Scenario 1
Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D625N/SR24A-MP-5;"Butterfly valve";1200 kPa;2.5 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";46
