PdmarticleID;Label;"Product family";"Product family short";"Product type";"Medium temperature";Control;"Operating range Y";Communication;"Emergency setting position (POP) deenergised";"Running time motor";"Actuating time motor";"Actuating force";"Auxiliary switch";"Nominal voltage";"Nominal torque";"Degree of protection IEC/EN";"Data sheet name";"Data sheet PDF";3432;"Product picture 4c/bw";DN;PN;"Permissible pressure ps";"Closing pressure Δps";"Differential pressure ∆pmin value";"Differential pressure Δpmax value";kvs;"kvs (Sequence I)";"kvs (Sequence II)";kvmax;"kv variable";"﻿kvs theor.";"kv (factory setting)";"Vnom [l/s]";"Vnom [l/min]";"Vnom [l/h]";Vmaxpos1;Vmaxpos2;Vmaxpos3;"Vmax low-n";"Control path leakage rate";"Number of pipe connections";"Pipe connection type";"Measurement ports";Media;"Valve application";"Electrical accessories";"Mechanical accessories";V0;V1;"Version Number";Path
PdmarticleID;Label;891;6667;6691;22;281;121;6517;6577;230;6650;118;112;83;260;144;406;660;3432;377;15;528;23;18;7308;28;14;510;511;78;6853;6827;6684;3460;6516;7153;548;549;7311;7456;6686;6560;6561;7312;6673;6666;581;582;7392;7393;VersionNr;Path
61654;R3032-16-S3;"Characterised control valve";CCV;Valve;-10...120°C;;;;;;;;;;;;R3..xx-S..;R3..xx-S.._datasheet_en-gb.pdf;;PIC_EU_R3-neueCCV_01_SW.jpg;32;16;1600 kPa;1400 kPa;;350 kPa;16 m³/h;;;;;;;;;;;;;;"Leakage rate A, air-bubble-tight (EN 12266-1)";3-way;"Internal thread";;Water;"Control valve";;ZR2332;;;340;"EU\Products\Water solutions\Rotary product range valves\Characterised control valves\Internal thread, 3-way\DN 32\"
61655;R3040-16-S3;"Characterised control valve";CCV;Valve;-10...120°C;;;;;;;;;;;;R3..xx-S..;R3..xx-S.._datasheet_en-gb.pdf;;PIC_EU_R3-neueCCV_01_SW.jpg;40;16;1600 kPa;1400 kPa;;350 kPa;16 m³/h;;;;;;;;;;;;;;"Leakage rate A, air-bubble-tight (EN 12266-1)";3-way;"Internal thread";;Water;"Control valve";;ZR2340;;;338;"EU\Products\Water solutions\Rotary product range valves\Characterised control valves\Internal thread, 3-way\DN 40\"
101235;EVC24A-SR;"Globe valve actuator";;Actuator;;modulating;DC 2...10 V;;;;"35 s / 40 mm";2500 N;;AC/DC 24 V;;IP54;EVC24A-SR;EVC24A-SR_datasheet_en-gb.pdf;;PIC_EU_EVC24A-SR_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S2A-H;;;;259;"EU\Products\Water solutions\Globe valve range actuators\Fast runner actuators\EVC..A (2500N)\modulating\AC/DC 24 V\"
101236;RV24A-SZ;"Globe valve actuator";;Actuator;;modulating;DC 0.5...10 V;;;;"120 s / 40 mm";4500 N;;AC/DC 24 V;;IP54;RV24A-SZ;RV24A-SZ_datasheet_en-gb.pdf;;PIC_EU_RV24A-SZ_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S2A-H;;;;261;"EU\Products\Water solutions\Globe valve range actuators\Standard actuators\RV..A (4500N)\modulating\AC/DC 24 V\"
5294;R3015-1-P4-B2;"Characterised control valve";"6-way CCV";Valve;6...80°C;;;;;;;;;;;;R30..-..-..-B2;R30..-..-..-B2_datasheet_en-gb.pdf;;PIC_EU_R3015..-B2_02_4C.jpg;15;16;1600 kPa;;;100 kPa;;1 m³/h;0.4 m³/h;;;;;;;;;;;;"Leakage rate A, air-bubble-tight (EN 12266-1)";6-way;"Internal thread";;Water;"Control valve";;ZR-004|ZR2315;;;349;"EU\Products\Water solutions\Rotary product range valves\Characterised control valves\Internal thread, 6-way\DN 15\"
5295;R3015-1-P63-B2;"Characterised control valve";"6-way CCV";Valve;6...80°C;;;;;;;;;;;;R30..-..-..-B2;R30..-..-..-B2_datasheet_en-gb.pdf;;PIC_EU_R3015..-B2_02_4C.jpg;15;16;1600 kPa;;;100 kPa;;1 m³/h;0.63 m³/h;;;;;;;;;;;;"Leakage rate A, air-bubble-tight (EN 12266-1)";6-way;"Internal thread";;Water;"Control valve";;ZR-004|ZR2315;;;350;"EU\Products\Water solutions\Rotary product range valves\Characterised control valves\Internal thread, 6-way\DN 15\"
4765;NR24A;"Rotary actuator";;Actuator;;Open-close|3-point;;;;"90 s";;;;AC/DC 24 V;10 Nm;IP54;NR24A;NR24A_datasheet_en-gb.pdf;;PIC_EU_NR24A_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S1A|S2A|P140A|P200A|P500A|P1000A|P2800A|P5000A|P10000A;;;;323;"EU\Products\Water solutions\Rotary product range actuators\Standard actuators\NR..A (10 Nm)\Ball valve linkage\Open-Close, 3-point\AC/DC 24 V\"
4766;NR24A-MF;"Rotary actuator";;Actuator;;modulating;DC 2...10 V;;;"90 s";;;;AC/DC 24 V;10 Nm;IP54;;NR24A-MF_datasheet_en-gb.pdf;;PIC_EU_NR24A-MF-neutral_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S1A|S2A|P140A|P200A|P500A|P1000A|P2800A|P5000A|P10000A|ZK1-GEN|ZK2-GEN;;;;300;"EU\Products\Water solutions\Rotary product range actuators\Standard actuators\NR..A (10 Nm)\Ball valve linkage\modulating, MF\AC/DC 24 V\"
5137;H620R;"Globe valve";H;Valve;5...120°C;;;;;;;;;;;;H6..R;H6..R_datasheet_en-gb.pdf;;PIC_EU_H625R_4C.jpg;20;6;600 kPa;;;;6.3 m³/h;;;;;;;;;;;;;;"max. 0.05% of the kvs value";2-way;Flange;;Water;"Control valve";ZH24-1;;;;283;"EU\Products\Water solutions\Globe valve range valves\PN6, flange\2-way\reduced\DN 20\"
5138;H625R;"Globe valve";H;Valve;5...120°C;;;;;;;;;;;;H6..R;H6..R_datasheet_en-gb.pdf;;PIC_EU_H625R_4C.jpg;25;6;600 kPa;;;;10 m³/h;;;;;;;;;;;;;;"max. 0.05% of the kvs value";2-way;Flange;;Water;"Control valve";ZH24-1;;;;286;"EU\Products\Water solutions\Globe valve range valves\PN6, flange\2-way\reduced\DN 25\"
4771;NRC24A-SR;"Rotary actuator";;Actuator;;modulating;DC 2...10 V;;;"45 s";;;;AC/DC 24 V;10 Nm;IP54;NRC24A-SR;NRC24A-SR_datasheet_en-gb.pdf;;PIC_EU_NR24A-MF-neutral_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S1A|S2A|P140A|P200A|P500A|P1000A|P2800A|P5000A|P10000A;;;;277;"EU\Products\Water solutions\Rotary product range actuators\Fast runner actuators\NRC..A (10 Nm)\Ball valve linkage\modulating\AC/DC 24 V\"
4768;NR24A-SR;"Rotary actuator";;Actuator;;modulating;DC 2...10 V;;;"90 s";;;;AC/DC 24 V;10 Nm;IP54;NR24A-SR;NR24A-SR_datasheet_en-gb.pdf;;PIC_EU_NR24A-SR-neutral_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S1A|S2A|P140A|P200A|P500A|P1000A|P2800A|P5000A|P10000A;;;;315;"EU\Products\Water solutions\Rotary product range actuators\Standard actuators\NR..A (10 Nm)\Ball valve linkage\modulating\AC/DC 24 V\"
5139;H632R;"Globe valve";H;Valve;5...120°C;;;;;;;;;;;;H6..R;H6..R_datasheet_en-gb.pdf;;PIC_EU_H625R_4C.jpg;32;6;600 kPa;;;;16 m³/h;;;;;;;;;;;;;;"max. 0.05% of the kvs value";2-way;Flange;;Water;"Control valve";ZH24-1;;;;282;"EU\Products\Water solutions\Globe valve range valves\PN6, flange\2-way\reduced\DN 32\"
61658;R3050-25-S4;"Characterised control valve";CCV;Valve;-10...120°C;;;;;;;;;;;;R3..xx-S..;R3..xx-S.._datasheet_en-gb.pdf;;PIC_EU_R3-neueCCV_01_SW.jpg;50;16;1600 kPa;1400 kPa;;350 kPa;25 m³/h;;;;;;;;;;;;;;"Leakage rate A, air-bubble-tight (EN 12266-1)";3-way;"Internal thread";;Water;"Control valve";;ZR2350;;;337;"EU\Products\Water solutions\Rotary product range valves\Characterised control valves\Internal thread, 3-way\DN 50\"
101246;LVC24A-MP-TPC;"Globe valve actuator";;Actuator;;modulating|communicative;DC 2...10 V;MP-Bus;;;"35 s / 15 mm";500 N;;AC/DC 24 V;;IP54;LVC24A-MP-TPC;LVC24A-MP-TPC_datasheet_en-gb.pdf;;PIC_EU_LVC24A-MP-TPC_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S2A-H|ZK1-GEN|ZK2-GEN|ZN230-24MP|ZFP2-MP;;;;341;"EU\Products\Water solutions\Globe valve range actuators\Fast runner actuators\LVC..A (500N)\modulating, MP\AC/DC 24 V\"
101245;LV24A-MP-TPC;"Globe valve actuator";;Actuator;;modulating|communicative;DC 2...10 V;MP-Bus;;;"150 s / 15 mm";500 N;;AC/DC 24 V;;IP54;LV24A-MP-TPC;LV24A-MP-TPC_datasheet_en-gb.pdf;;PIC_EU_LV24A-MP-TPC_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S2A-H|ZK1-GEN|ZK2-GEN|ZN230-24MP|ZFP2-MP;;;;341;"EU\Products\Water solutions\Globe valve range actuators\Standard actuators\LV..A (500N)\modulating, MP\AC/DC 24 V\"
5298;R3015-1P3-P25-B2;"Characterised control valve";"6-way CCV";Valve;6...80°C;;;;;;;;;;;;R30..-..-..-B2;R30..-..-..-B2_datasheet_en-gb.pdf;;PIC_EU_R3015..-B2_02_4C.jpg;15;16;1600 kPa;;;100 kPa;;1.3 m³/h;0.25 m³/h;;;;;;;;;;;;"Leakage rate A, air-bubble-tight (EN 12266-1)";6-way;"Internal thread";;Water;"Control valve";;ZR-004|ZR2315;;;346;"EU\Products\Water solutions\Rotary product range valves\Characterised control valves\Internal thread, 6-way\DN 15\"
61656;R3040-25-S4;"Characterised control valve";CCV;Valve;-10...120°C;;;;;;;;;;;;R3..xx-S..;R3..xx-S.._datasheet_en-gb.pdf;;PIC_EU_R3-neueCCV_01_SW.jpg;40;16;1600 kPa;1400 kPa;;350 kPa;25 m³/h;;;;;;;;;;;;;;"Leakage rate A, air-bubble-tight (EN 12266-1)";3-way;"Internal thread";;Water;"Control valve";;ZR2340;;;340;"EU\Products\Water solutions\Rotary product range valves\Characterised control valves\Internal thread, 3-way\DN 40\"
